day_of_week,hour,interarrival_time,probability
Sunday,0,9.498344298245618,0.7368421052631579
Sunday,1,7.410142772861355,0.7610619469026548
Sunday,2,6.508048717948719,0.8384615384615385
Sunday,3,5.540223309178742,0.7463768115942029
Sunday,4,5.258955821917807,0.6917808219178082
Sunday,5,4.890413708086784,0.6923076923076923
Sunday,6,4.078840944123315,0.7283236994219653
Sunday,7,4.410875526315791,0.7894736842105263
Sunday,8,4.609954093567254,0.8011695906432749
Sunday,9,4.164127659574467,0.776595744680851
Sunday,10,4.038491965811967,0.8461538461538461
Sunday,11,4.44856515151515,0.7386363636363636
Sunday,12,3.002969358974358,0.7961538461538461
Sunday,13,2.6526672185430455,0.7649006622516556
Sunday,14,2.4858190860215057,0.7838709677419354
Sunday,15,2.593110960451977,0.7254237288135593
Sunday,16,2.810724848484847,0.72
Sunday,17,3.680790257648957,0.7632850241545893
Sunday,18,5.048357006369426,0.7579617834394905
Sunday,19,7.4592543010752665,0.7849462365591398
Sunday,20,11.915444444444447,0.8571428571428571
Sunday,21,9.998656712962966,0.7222222222222222
Sunday,22,12.794985156250005,0.71875
Sunday,23,14.712010493827169,0.7222222222222222
Monday,0,8.050189779874213,0.7358490566037735
Monday,1,6.842287202380953,0.7053571428571429
Monday,2,6.991217663817662,0.7606837606837606
Monday,3,4.988791922290386,0.7239263803680982
Monday,4,4.649197619047622,0.6964285714285714
Monday,5,5.2810195804195805,0.7202797202797203
Monday,6,4.189641403508774,0.7526315789473684
Monday,7,3.749094308943089,0.7463414634146341
Monday,8,4.247800280898876,0.8089887640449438
Monday,9,4.401827482269503,0.7712765957446809
Monday,10,4.296756203703702,0.7777777777777778
Monday,11,4.086256169429099,0.7292817679558011
Monday,12,3.9114495238095226,0.7666666666666667
Monday,13,2.8247427639383145,0.7686832740213523
Monday,14,2.649519863013697,0.7808219178082192
Monday,15,3.0172034749034755,0.7953667953667953
Monday,16,3.0475603333333314,0.776
Monday,17,4.3367802197802225,0.7527472527472527
Monday,18,5.5523627226463095,0.7938931297709924
Monday,19,7.366582269503545,0.7659574468085106
Monday,20,10.822220338983055,0.8135593220338984
Monday,21,19.81620357142857,0.7857142857142857
Monday,22,16.094667948717948,0.8461538461538461
Monday,23,12.09664261904762,0.8428571428571429
Tuesday,0,7.15957991452991,0.7948717948717948
Tuesday,1,7.492392727272728,0.7636363636363637
Tuesday,2,6.629192543859648,0.7017543859649122
Tuesday,3,5.928307682291667,0.6484375
Tuesday,4,4.92341729957806,0.759493670886076
Tuesday,5,5.421197039473686,0.6907894736842105
Tuesday,6,4.892585606060611,0.7727272727272727
Tuesday,7,5.430057174392936,0.7218543046357616
Tuesday,8,3.7332192982456154,0.6746411483253588
Tuesday,9,4.117075139664805,0.7262569832402235
Tuesday,10,4.47345359848485,0.7784090909090909
Tuesday,11,4.312779670329672,0.7527472527472527
Tuesday,12,3.2328931216931176,0.7182539682539683
Tuesday,13,2.622624080267558,0.7658862876254181
Tuesday,14,3.234506708160444,0.8340248962655602
Tuesday,15,2.718104649758455,0.7137681159420289
Tuesday,16,3.650686681887365,0.7534246575342466
Tuesday,17,5.394569730392156,0.75
Tuesday,18,6.162615656565658,0.7954545454545454
Tuesday,19,6.043240117994099,0.7787610619469026
Tuesday,20,12.409704166666662,0.7678571428571429
Tuesday,21,15.892389215686274,0.803921568627451
Tuesday,22,13.65834209039548,0.847457627118644
