day_of_week,hour,mean_interarrival_time
Sunday,0,4.9935614379085
,1,7.79197162162162
,2,7.71867990196078
,3,11.0966326923077
,4,12.030184057971
,5,12.902667948718
,6,27.479346969697
,7,31.2321535714286
,8,40.0017944444444
,9,42.1528966666667
,10,16.4184113333333
,11,18.9926798850575
,12,8.8159108974359
,13,10.0288034313726
,14,15.5233611111111
,15,9.8635681372549
,16,10.1689535353535
,17,9.98938735632184
,18,7.79197986111111
,19,7.44723369565218
,20,7.84713405797101
,21,7.4330149122807
,22,4.88818743589744
,23,5.81384071038251
Monday,0,7.70353888888889
,1,9.1899311827957
,2,15.8060740740741
,3,11.8697842105263
,4,20.0904416666667
,5,23.9911777777778
,6,23.0017051282051
,7,20.1000351851852
,8,29.6747972222222
,9,24.9317474358974
,10,10.0480301587302
,11,20.0641083333333
,12,14.9136058333333
,13,9.23728205128205
,14,10.3468353535354
,15,12.6163824074074
,16,8.30952307692308
,17,7.79722070707071
,18,5.94082733333333
,19,5.4740700617284
,20,6.07814863945578
,21,5.48243591954023
,22,5.12034214285714
,23,5.50765
Tuesday,0,6.15492427536232
,1,7.30566041666667
,2,8.07856436781609
,3,19.3684413043478
,4,14.8659794871795
,5,11.5751055555556
,6,41.2311604166667
,7,30.0601222222222
,8,14.5866166666667
,9,15.937235
,10,20.7563644444444
,11,12.8743364197531
,12,15.1329492063492
,13,19.7964791666667
,14,12.0607096153846
,15,10.9762461538462
,16,12.7393404761905
,17,12.1626102150538
,18,6.93102953216374
,19,6.92445406504065
,20,9.02807936507936
,21,8.1011016025641
,22,5.88538467741936
,23,4.69902470238095
Wednesday,0,6.0795375
,1,10.9273243243243
,2,12.3533905555556
,3,14.8906523809524
,4,16.22147
,5,40.6832666666667
,6,20.1288541666667
,7,27.4012345238095
,8,12.6206931372549
,9,14.09752
,10,13.8320514492754
,11,11.4206224358974
,12,8.65619444444445
,13,13.1690981481482
,14,12.0719282828283
,15,8.97317352941177
,16,9.24155344827586
,17,7.03814583333333
,18,7.60869934640523
,19,9.09651171171171
,20,9.11556966666667
,21,6.80266136363636
,22,7.86565593220339
,23,6.26534345238095
Thursday,0,6.29444196428571
,1,6.87151782945736
,2,13.1303083333333
,3,15.974287037037
,4,15.4447543859649
,5,45.3590939393939
,6,45.9940363636364
,7,20.5221523809524
,8,25.290451754386
,9,13.2336154761905
,10,15.8872626984127
,11,16.8704152777778
,12,9.59431777777778
,13,10.9674463768116
,14,9.34195897435898
,15,12.5034446236559
,16,9.74114731182796
,17,5.75849494949495
,18,8.83930784313726
,19,8.2698181372549
,20,7.19400157232704
,21,6.57661532258065
,22,6.53680425531915
,23,6.94079492753623
Friday,0,4.9897275
,1,7.10841578947368
,2,8.41569333333333
,3,16.5798177083333
,4,21.9843222222222
,5,27.03945
,6,22.2090651515151
,7,13.1626316666667
,8,20.8863217948718
,9,19.03795
,10,12.632075
,11,20.1200763888889
,12,12.2250849462366
,13,16.9170858333333
,14,8.33152424242424
,15,7.224
,16,9.85049385964912
,17,8.15198142857143
,18,6.57935555555556
,19,6.63463333333333
,20,8.53353209876543
,21,7.904256284153
,22,6.01347909090909
,23,5.94005514705882
Saturday,0,6.94736545454545
,1,6.37074583333333
,2,8.68381315789474
,3,15.0320079710145
,4,22.9754583333333
,5,11.0112027777778
,6,27.3662535714286
,7,14.6742694444445
,8,29.4293787037037
,9,24.1102433333333
,10,17.1899683908046
,11,11.8287505376344
,12,14.659975
,13,13.5834120689655
,14,11.1238267857143
,15,10.5003346666667
,16,9.90946707317073
,17,9.66158876811594
,18,5.79681166666667
,19,7.03832789855072
,20,5.37944575163399
,21,8.17116016260163
,22,6.5709828125
,23,6.63117287581699
