day_of_week,hour,interarrival_time,probability
Sunday,0,4.35449754601227,0.6748466257668712
Sunday,1,6.731419710144927,0.8
Sunday,2,6.827037288135594,0.7288135593220338
Sunday,3,7.943163218390805,0.8045977011494253
Sunday,4,13.574632075471705,0.7735849056603774
Sunday,5,15.255602941176472,0.7450980392156863
Sunday,6,24.17453333333333,0.75
Sunday,7,24.08130047619047,0.8
Sunday,8,14.778143939393942,0.7045454545454546
Sunday,9,18.798435493827153,0.6666666666666666
Sunday,10,12.988378472222223,0.8333333333333334
Sunday,11,13.787403286384974,0.7887323943661971
Sunday,12,8.659408988764044,0.7415730337078652
Sunday,13,9.607061445783131,0.8072289156626506
Sunday,14,11.05831414141414,0.7272727272727273
Sunday,15,7.796146363636364,0.6181818181818182
Sunday,16,8.360969047619049,0.7857142857142857
Sunday,17,7.394350147492624,0.7168141592920354
Sunday,18,8.364587545787549,0.8021978021978022
Sunday,19,6.177462077294686,0.8260869565217391
Sunday,20,7.701086363636359,0.8080808080808081
Sunday,21,5.188062418300656,0.803921568627451
Sunday,22,5.856679817708333,0.828125
Sunday,23,4.9382772727272695,0.6818181818181818
Monday,0,6.169248271604939,0.7407407407407407
Monday,1,7.464250801282052,0.6826923076923077
Monday,2,8.494577366255143,0.7530864197530864
Monday,3,9.498446710526318,0.8421052631578947
Monday,4,12.352539682539687,0.7936507936507936
Monday,5,19.714629279279276,0.7297297297297297
Monday,6,18.574237878787876,0.8636363636363636
Monday,7,24.082522777777772,0.6666666666666666
Monday,8,23.775132432432425,0.6756756756756757
Monday,9,16.064790000000002,0.68
Monday,10,12.955262841530052,0.6557377049180327
Monday,11,12.473806557377046,0.7704918032786885
Monday,12,12.382156313131308,0.7121212121212122
Monday,13,9.004724521072799,0.7126436781609196
Monday,14,9.32502943722944,0.7532467532467533
Monday,15,9.833601254480287,0.7741935483870968
Monday,16,7.901565925925928,0.6888888888888889
Monday,17,7.08657011494253,0.7672413793103449
Monday,18,5.61554595588235,0.7573529411764706
Monday,19,4.968343800813008,0.7926829268292683
Monday,20,4.480022,0.7771428571428571
Monday,21,4.880947171717169,0.8242424242424242
Monday,22,4.395132297551789,0.8022598870056498
Monday,23,4.458895223577235,0.7012195121951219
Tuesday,0,5.2019198464912275,0.7368421052631579
Tuesday,1,6.308004918032786,0.7704918032786885
Tuesday,2,7.334574910394268,0.7526881720430108
Tuesday,3,13.724547839506174,0.8703703703703703
Tuesday,4,11.829932203389834,0.6779661016949152
Tuesday,5,21.842652000000008,0.92
Tuesday,6,30.424670588235305,0.7647058823529411
Tuesday,7,17.64324188034188,0.7692307692307693
Tuesday,8,20.331386274509807,0.7647058823529411
Tuesday,9,22.65175869565218,0.717391304347826
Tuesday,10,14.616404885057472,0.6896551724137931
Tuesday,11,10.209403652968037,0.7808219178082192
Tuesday,12,14.627283333333336,0.8
Tuesday,13,10.926054106280198,0.7101449275362319
Tuesday,14,11.571618518518514,0.6825396825396826
Tuesday,15,10.981201068376071,0.6666666666666666
Tuesday,16,10.812899999999999,0.6164383561643836
Tuesday,17,9.959685021097044,0.7974683544303798
Tuesday,18,6.8028084699453535,0.7540983606557377
Tuesday,19,6.392058477011494,0.7586206896551724
Tuesday,20,8.61578883161512,0.7731958762886598
Tuesday,21,6.168089763779526,0.7322834645669292
Tuesday,22,5.090459583333332,0.85
Tuesday,23,4.447131212121212,0.696969696969697
Wednesday,0,4.750441772151898,0.7784810126582279
Wednesday,1,7.3989391666666675,0.87
Wednesday,2,8.85376515151515,0.8181818181818182
Wednesday,3,13.522645238095237,0.7551020408163265
Wednesday,4,13.680847058823533,0.7843137254901961
Wednesday,5,26.586986309523805,0.75
Wednesday,6,18.449386574074076,0.8055555555555556
Wednesday,7,26.03948333333333,0.71875
Wednesday,8,17.311128431372552,0.6764705882352942
Wednesday,9,23.97651250000001,0.7083333333333334
Wednesday,10,12.039967579908671,0.684931506849315
Wednesday,11,9.451055555555554,0.7471264367816092
Wednesday,12,6.2500139937106916,0.6509433962264151
Wednesday,13,9.38149375,0.6770833333333334
Wednesday,14,10.279266666666668,0.7763157894736842
Wednesday,15,8.304404736842105,0.8210526315789474
Wednesday,16,8.9035358974359,0.7032967032967034
Wednesday,17,7.253028594771242,0.7450980392156863
Wednesday,18,7.112619266055045,0.7706422018348624
Wednesday,19,8.461376237623762,0.801980198019802
Wednesday,20,7.160735130718954,0.7549019607843137
Wednesday,21,5.607746386946387,0.7692307692307693
Wednesday,22,5.975272839506171,0.7851851851851852
Wednesday,23,5.061027662037039,0.7222222222222222
Thursday,0,5.660838095238094,0.8367346938775511
Thursday,1,6.263834637681157,0.8434782608695652
Thursday,2,8.450205555555556,0.8275862068965517
Thursday,3,9.912039393939393,0.8311688311688312
Thursday,4,12.6506649122807,0.8245614035087719
Thursday,5,12.944467878787876,0.8545454545454545
Thursday,6,16.34668733333333,0.9
Thursday,7,23.33577051282051,0.7692307692307693
Thursday,8,20.577400961538462,0.7115384615384616
Thursday,9,11.87316964285714,0.625
Thursday,10,13.974486885245899,0.7213114754098361
Thursday,11,11.03283888888889,0.6172839506172839
Thursday,12,11.316461299435032,0.711864406779661
Thursday,13,11.661898173515983,0.7123287671232876
Thursday,14,10.003654641350211,0.7088607594936709
Thursday,15,9.589728947368423,0.6973684210526315
Thursday,16,8.03178717948718,0.6923076923076923
Thursday,17,7.132928703703703,0.6388888888888888
Thursday,18,8.574121505376342,0.8064516129032258
Thursday,19,6.886193492063487,0.7333333333333333
Thursday,20,7.217189166666667,0.75
Thursday,21,6.987007121212123,0.8090909090909091
Thursday,22,6.897751474926253,0.8230088495575221
Thursday,23,5.364609713024279,0.7947019867549668
Friday,0,5.551165579710145,0.8115942028985508
Friday,1,7.866067534722224,0.8229166666666666
Friday,2,8.77246329588015,0.7865168539325843
Friday,3,11.894903205128204,0.7307692307692307
Friday,4,14.160787272727271,0.8363636363636363
Friday,5,21.453240540540538,0.7027027027027027
Friday,6,22.845028846153845,0.6923076923076923
Friday,7,25.336824444444442,0.7333333333333333
Friday,8,32.7476811827957,0.6129032258064516
Friday,9,14.575909000000003,0.66
Friday,10,13.253661748633878,0.6557377049180327
Friday,11,15.543728395061724,0.5925925925925926
